"","money"
"383","Mexican authorities said on Tuesday they will aim to identify some 3,000 bone fragments, apparently human, found at the weekend in the northern state of Coahuila, where organized crime has been blamed for the loss of thousands of lives. "
"384","U.S. Defense Secretary Jim Mattis said on Tuesday that the killing of former Yemeni President Ali Abdullah Saleh would, in the short term, likely worsen an already dire humanitarian situation in the country."
"385","Volkswagen is headed for record group sales this year as the ""strong trend"" in deliveries is set to continue with November and December figures, chief executive Matthias Mueller said."
"386","Switzerland released a national plan on Monday to prevent violent extremism, including training teachers and coaches to recognize warning signs and re-integrating people who have already been radicalized."
"387","Digital mapping firm HERE said on Tuesday it plans to acquire Advanced Telematic Systems (ATS), a Germany-based company that provides ""over the air"" software updates for connected and autonomous vehicles."
"388","Munich Re's Ergo unit has dropped plans to sell run-off life insurance policies, saying non-binding offers received by the company were too low."
"389","China state-backed explosives maker Anhui Leimingkehua Co is acquiring a coal mining affiliate in a $3.1 billion (2.3 billion pounds) deal, a move it said was part of the government's push to make state-owned enterprises (SOEs) more efficient."
"390","Amnesty International has called for a criminal investigation into the alleged role of Royal Dutch Shell in human rights abuses in Nigeria's oil-rich Ogoniland in the 1990s, accusations the Anglo-Dutch oil company has denied. "
"391","Yankees General Manager Brian Cashman said that representatives for Ohtani, the two-way Japanese star, had told him that Ohtani prefers to play in a small market or the West Coast."
"392","An Indian court on Tuesday imposed a fine of 4.5 million rupees ($70,000) on Nestle India in a 2015 case for selling substandard instant noodles after a laboratory test found high ash content in its popular Maggi brand."
"393","French technology consultancy Altran is to buy U.S. design and engineering services firm Aricent in a 1.7 billion euro (&#163;1.49 billion) deal."
"394","A high-ranking Army Reserve officer was sentenced Tuesday to four years in prison and ordered to forfeit $4.4 million for fraudulently supplying hundreds of thousands of Chinese-produced baseball caps and backpacks to the Army Recruiting Command a..."
"395","Lufthansa Chief Executive Carsten Spohr is meeting with EU Competition Commissioner Margrethe Vestager on Wednesday to discuss anti-trust concerns over the German carrier's acquisition of Air Berlin assets, a person familiar with the matter told R..."
"396","President Donald Trump will announce plans next week to shrink two sprawling Utah national monuments by nearly two-thirds, an action that environmentalists and tribal leaders called illegal and another affront to Native Americans."
"397","Serbia began work on a China-funded railway line on Tuesday to try to improve the Balkan country's infrastructure, an effort also expected to strengthen Beijing's influence in Europe. "
"398","U.S. shale oil producers and OPEC appear to have called a truce of sorts even though there is no sign the U.S. industry will do anything to help reduce the global oil supply glut."
"399","The City Council is expected to revise the threshold for a tax that one politician said is “stepping on the neck of small businesses.”"
"400","The fashion brand, which has been enjoying exponential growth, is the latest prominent company to be investigated by financial authorities in Italy."
"401","Europe is making major strides to eliminate barriers that have held back the region from developing tech firms that can compete on the scale of global giants Alphabet Inc's Google, Amazon.com Inc or Tencent Holdings Inc, a report published on Thur..."
"402","The latest ratings show that viewers are tuning out NBC’s fun-and-games approach and flocking to the politically engaged Stephen Colbert and Jimmy Kimmel."
"403","The deal is aimed at moving the candy giant into more healthful foods, at a time when consumers are stepping away from traditional sweets."
"404","Bob Bentz had just installed underground utility lines and paved a new road when wildfires roared through the eastern Tennessee treetop canopy he wanted to transform into a $30 million adventure park."
"405","As shoppers have bought TVs and toys so far this holiday season, they've shown a desire for deals but also an inclination for some impulse spending, retail experts say."
"406","A long-awaited trade-theft trial between Waymo and Uber was delayed until next year so Waymo’s lawyers can examine evidence that surfaced in recent days."
"407","President Donald Trump's efforts to make the United States ""energy dominant"" with help from Alaska got off to modest results Wednesday."
"408","Green Bay Packers quarterback Aaron Rodgers celebrated his birthday Saturday by practicing with the team for the first time since breaking his collarbone on Oct. 15."
"409","Some of Australia's biggest power users, including mining giant BHP, are taking steps to curb the impact of any repeat of crippling blackouts that hit last summer, worried about a grid that increasingly relies on wind power and old coal-fired plan..."
"410","Some victims injured in the mass shooting at an outdoor music festival in Las Vegas on Tuesday asked a committee in charge of distributing millions of dollars in donations to rework a plan to divide the money."
"411","A white former police officer in South Carolina will spend two decades in prison for shooting an unarmed black motorist to death in 2015."
"412","Modern birth control pills that are lower in estrogen have fewer side effects than past oral contraceptives. But a large Danish study suggests that, like older pills, they still modestly raise the risk of breast cancer, especially with long-term u..."
"413","Willie Taggart is returning to the Sunshine State, this time as head football coach at Florida State."
"414","After a two-year standstill, Kentucky's renowned horse industry is back in the race to develop a market in China, the world's most populous country."
"415","The manufacturer of a dengue fever vaccine that was suspended in the Philippines after a new study showed a greater risk of severe cases in people without previous infection said Monday it is working with authorities to address fears and share the..."
"416","The Senate and the House seek to achieve a sweeping overhaul of the nation's tax code but go about it in different ways. With the Senate bill passed Saturday and the House bill passed two weeks ago, congressional Republicans now will work quickly ..."
"417","Oil markets were cautious on Thursday ahead of an OPEC meeting in Vienna, with producers set to debate an extension of the supply-cut agreement that came into effect in January with the goal of tightening supplies and propping up prices. "
"418","Embattled Malaysian Prime Minister Najib Razak said Thursday it would be a ""nightmare"" for ethnic Malays if the opposition wins elections next year."
"419","After 19 years of work to safeguard nuclear waste dating from the Cold War, workers at a sprawling Washington state site have managed to remove virtually all of the radioactive waste from 16 aging underground steel tanks at risk of leaking."
"420","Goldman Sachs Group is among around five bidders for ScotiaMocatta, the metals trading arm of Canada's Bank of Nova Scotia, for which it is seeking up to $1 billion, sources with knowledge of the matter told Reuters."
"421","Hedge funds led by the Baupost Group LLC are poised to score a $170 million profit in less than three months from a bet tied to Toshiba Corp's bankrupt nuclear unit Westinghouse Electric Corp, according to three people familiar with the matter."
"422","In addition to the biggest players, these five companies are grabbing a share of the marketplace."
"423","The Latest on the sentencing hearing for a prominent Florida eye doctor accused of bribing U.S. Sen. Bob Menendez of New Jersey (all times local):"
"424","A lawyer for Bikram Choudhury Yoga Inc said on Thursday he is aiming to salvage the so-called hot yoga studio after millions of dollars in legal judgments and numerous allegations of sexual misconduct against its fugitive millionaire founder."
"425","Lufthansa is willing to sacrifice the right to fly some routes to save its deal to acquire assets of Air Berlin, the low-cost airline that collapsed recently, a source familiar with the company's thinking said on Thursday."
"426","Britain is making a ""new, ambitious and optimistic offer"" of closer security and economic ties with Arab allies, the country's prime minister said Thursday, the last day of a Mideast trip meant to bolster ties with the region before the U.K. leave..."
"427","Benevento grabbed their first-ever Serie A point in extraordinary style on Sunday when goalkeeper Alberto Brignoli scored with a flying header deep into stoppage time to give them a 2-2 draw with AC Milan."
"428","Troubled platinum producer Lonmin plans to cut spending on social and labour projects and freeze ""non-critical"" recruitment, part of an array of measures to save cash, according to an unpublished presentation reviewed by Reuters."
"429","Dallas billionaire Tom Dundon has signed a purchase agreement to buy a majority stake in the Carolina Hurricanes from longtime owner Peter Karmanos."
"430","Atletico Madrid are accustomed to being among the Champions League heavyweights but after being dumped out of Europe's elite competition on Tuesday they must now come to terms with playing in the far less glamorous Europa League. "
"431","More than a dozen states banded together Monday to ask the U.S. Supreme Court to block a California law requiring any eggs sold there to come from hens that have space to stretch out in their cages."
"432","The discovery of more than 200 of the eggs laid by the flying reptiles that lived during the dinosaur era could contribute to understanding of their early lives."
"433","The abrupt departure of ""Today"" co-host Matt Lauer may send some viewers to morning-news alternatives, at least in the short term, as NBC charts a course without its star anchor, media and advertising experts said on Wednesday."
"434","Since the fighter’s big payday in August, there has been speculation about whether he will ever fight again and an apology for his behavior at a friend’s bout."
"435","Seattle is moving forward with efforts to renovate the aging city-owned KeyArena into a premier venue that could be ready for an NBA or NHL team within three years."
"436","British Prime Minister Theresa May met with her Iraqi counterpart Haider al-Abadi in Baghdad on Wednesday, an Iraqi government spokesman said, her first visit to Iraq since coming to power last year."
"437","U.S. Ambassador Nikki Haley warned South Sudan's government and rival forces Tuesday that the United States is ready to pursue additional measures if they don't take action to end violence, start negotiations, and ease the humanitarian crisis in t..."
"438","The Senate is weighing a roughly $1.4 trillion tax overhaul. Some late changes were made to the bill Friday. The House passed a nearly $1.5 trillion tax bill two weeks ago that differs in key respects. A comparison of the two Republican-written me..."
"439","The Senate is weighing a roughly $1.4 trillion tax overhaul. The House passed a nearly $1.5 trillion tax bill two weeks ago that differs in key respects. A comparison of the two Republican-written measures:"
"440","Federal agents used a Pilot Flying J employee to try to get Cleveland Browns owner Jimmy Haslam to make incriminating comments on the telephone, but court testimony suggests Haslam was aware he was making the call at their behest."
"441","Private equity firm Blue Water Energy said on Monday it had raised $1.1 billion for a fund to invest in oil and gas, the latest sign of growing appetite for the industry as crude prices recover from a downturn."
"442","Private equity group Sun Capital has attracted final bids from several of its peers for French packaging group Albea, which could be valued at more than $1.5 billion (&#163;1.13 billion) in a second attempt at a sale, people close to the matter sa..."
"443","Shares in French bank SocGen rose on Tuesday after SocGen said it would close more branches and cut staff in its French retail banking network while also selling assets, as part of a three-year plan to boost returns."
"444","Chip Kelly seemed a bit surprised by the standing ovation from hundreds of UCLA fans and boosters when he walked into the upscale club room at hallowed Pauley Pavilion to become the Bruins' new head coach."
"445","Supporters of the far right in Finland and anti-fascists staged rival marches in the capital on Wednesday as the country celebrated 100 years of independence."
"446","Germany's unemployment total fell more than expected in November, data showed on Thursday, reflecting the strength of a labour market that continues to generate new jobs and support a consumption-led upswing in Europe's largest economy."
"447","Unlike a set of layoffs at the company earlier this year, this round of cuts is not expected to include prominent on-air sportscasters."
"448","The California Department of Insurance is seeking to suspend or revoke Wells Fargo &amp; Co's licenses for alleged improper insurance sales practices related to the company's online insurance referral program."
"449","Four men charged in a conspiracy to steal and sell Army equipment have been sentenced in federal court in Tennessee."
"450","British Prime Minister Theresa May will travel to the Middle East this week to lend her support to economic reforms in Saudi Arabia and Jordan, her spokesman said."
"451","A decade of dominance as the world's two best soccer players has left Cristiano Ronaldo and Lionel Messi level with five Ballon d'Or awards each."
"452","Recent commercial real estate transactions in New York."
"453","The European Union is increasingly willing to consider Western Balkan states joining the bloc, which could help ensure peace in the region while enriching the EU itself, the bloc's integration commissioner said."
"454","For Christine Wade, the tent she shared with six children, pitched in an asphalt parking lot, was far better than their previous home &#8212; a shelter where rats ate through the family's bags of clothes."
"455","The singer also released the album to streaming services, which may give it a second wind next week when it faces a challenge from U2’s new record."
"456","A man shot and killed a 16-year-old girl in a vehicle before the car crashed in Connecticut, police said."
"457","Danish pharma company Alk Abello said on Monday it would invest 1 billion Danish crowns (118 million pounds) in its North America business, a move that is expected put a lid on earnings and revenue growth in the near term."
"458","Cristina Fernández de Kirchner was charged in connection with the 2015 death of a prosecutor, Daniel Nisman, who had investigated the unsolved 1994 bombing of a Jewish community center."
"459","Norway's $1-trillion (&#163;0.8 trillion) sovereign wealth fund has made its first real estate investment in Asia by acquiring a 70-percent stake in five properties in Tokyo, it said on Friday."
"460","For the second time in a week, some clients at Fidelity Investments could not access their online accounts at the powerhouse retail trading brokerage on Monday morning in a glitch described by the company as a technical issue."
"461","One of the city’s great public works projects, the Croton Aqueduct, was completed 175 years ago. It might not have existed if not for a feud between founding fathers."
"462","Britain's Financial Conduct Authority (FCA) on Wednesday fined Bluefin Insurance Services 4 million pounds for presenting itself as an independent broker when it was owned by insurer AXA UK."
"463","OPEC and non-OPEC producers led by Russia agreed on Thursday to extend oil output cuts until the end of 2018 as they try to finish clearing a global glut of crude while signalling a possible early exit from the deal if the market overheats."
"464","The U.S. Food and Drug Administration on Thursday cleared a device embedded in an Apple Inc watch band that monitors a user's heart rate, detects when something is amiss and prompts the user to take an electrocardiogram."
"465","A plan to have the largest private prison operator in the U.S. build a new state prison for Kansas immediately faced bipartisan criticism from legislators Thursday because the state would pay for the project by leasing the facility from the compan..."
"466","Martin Shkreli, dubbed the ""pharma bro"" for exploits such as jacking up the price of a life-saving drug by 5,000 percent, should forfeit $7.4 million, including his Wu Tang Clan album and a Picasso painting, U.S. prosecutors said on Friday."
"467","A Finnish court banned neo-Nazi group the Nordic Resistance Movement (PVL) on Thursday, saying there was an ""urgent social need"" to shut down the group which it said spread hate speech and incited violence."
"468","Lowell Hawthorne, the founder and CEO of Golden Krust Caribbean Bakery and Grill, has died in New York City. He was 57."
"469","Wipro Ltd, India's No.3 software exporter, said on Friday that it would challenge a lawsuit filed by National Grid US seeking damages of over $140 million related to a project that dates back to 2009."
"470","With crude prices at two-year highs, OPEC and allied oil producing-nations appear ready to agree to extend their output cuts at a meeting Thursday after Iraq's energy minister said there was broad agreement for such a move."
"471","The government of Niger has approved the use of armed American drones, a U.S. official said on Thursday, expanding the U.S. ability to target militants in the region."
"472","Federal prosecutors are investigating allegations that Uber deployed an espionage team to plunder trade secrets from its rivals. The revelation triggered a delay in a high-profile trial over whether the beleaguered ride-hailing service stole self-..."
"473","The Pentagon intends to keep indefinitely its legacy cluster munitions, more than 1.5 million of which are in South Korea."
"474","Nearly 50 people have been arrested in a crackdown on gangs in a troubled Northern California city that also netted nearly three-dozen firearms, the state attorney general's office said Thursday."
"475","LVMH, the world's biggest luxury goods company, said the market will do ""a bit better"" in 2018 than this year, the group's managing director said on Monday. "
"476","Fewer people sought US unemployment benefits last week, a sign of strength in the job market."
"477","Britain has picked a site in central England to house a new automotive battery manufacturing development facility, in a move which ministers and companies hope will lead to large-scale local production."
"478","A small Montana company that landed and lost a contract to restore Puerto Rico's hurricane-shattered electric grid reached a settlement in a dispute over money it said it was owed for the work, according to court documents."
"479","Former Russian economy minister Alexei Ulyukayev, accused of taking a $2 million bribe from Rosneft chief executive Igor Sechin, told a court on Thursday he was the victim of ""a monstrous and cruel provocation."""
"480","Private equity firm Blue Water Energy said on Monday it had raised $1.1 billion for a fund to invest in oil and gas, the latest sign of growing appetite for the industry as crude prices recover from a downturn."
"481","Stephen K. Bannon, the president’s former strategist, has another medium to take on the Republican establishment."
"482","Microsoft is overhauling its longtime headquarters with an 18-building construction project that will make room for another 8,000 workers."
"483","German industrial group Siemens AG  is negotiating a settlement worth more than 1 billion reais ($307 million) with Brazilian state prosecutors over a civil case related to probes into whether bribes were paid to win train contracts, according to ..."
"484","Taylor Swift held onto her throne atop the weekly U.S. Billboard 200 album chart for a third consecutive week on Monday. "
"485","OPEC and Russia look set to prolong oil supply cuts until the end of 2018 this week while signalling that they may review the deal when they meet again in June if the market overheats."
"486","A Moscow court on Monday ruled that a prominent theater and film director who is being investigated for fraud must remain under house arrest."
"487","With Christmas around the corner, Wick Farm in Colchester, eastern England, is gearing up by harvesting its crop of fir trees."
"488","Michael Flynn's plea of guilty on Friday to lying to the Federal Bureau of Investigation made him the fourth person known to be charged in a U.S. Justice Department investigation of ties between President Donald Trump's 2016 election campaign and ..."
"489","America’s health care system has a multiplicity of players, driving bills higher. UnitedHealth’s purchase of a physicians group could control costs."
"490","A Vermont man denied in court papers Wednesday allegations that he killed his millionaire grandfather in 2013 and claims he doesn't know the whereabouts of his mother who disappeared after a boat they were on sank off Rhode Island."
"491","Four former and current executives of Peruvian construction companies were detained pending trial on Monday, accused of colluding with Brazilian builder Odebrecht to bribe a former president."
"492","Peugeot carmaker PSA Group is to bring the development and production of its electric motors back to France after creating a joint venture with Japan's Nidec Corp that will initially invest 200 million euros (&#163;175.77 million)."
"493","Mount Agung volcano on Bali has erupted for the first time in more than half a century, forcing closure of the Indonesian tourist island's busy airport as the mountain gushes huge columns of ash that are a threat to airplanes."
"494","Uber Technologies Inc. on Wednesday signed a deal with MoMo, Vietnam's leading financial technology firm, enabling Uber riders to pay for trips using MoMo's e-wallets in a country where most transactions are done in cash."
"495","A U.S. Navy commander was sentenced Friday to 18 months in prison for his role in a fraud and bribery scheme that cost the government about $35 million."
"496","Macau has suspended a pro-democracy lawmaker for alleged ""disobedience"" after he took to the street instead of staying on a sidewalk during a protest, as activists warn suppression of civil rights is growing in the China-ruled gambling hub."
"497","Tesla Inc switched on the world's biggest lithium ion battery on Friday in time to feed Australia's shaky power grid for the first day of summer, meeting a promise by Elon Musk to build it in 100 days or give it free."
"498","Pakistan's army chief on Thursday criticized madrassas that have mushroomed nationwide for mostly teaching only Islamic theology, saying the country needs to ""revisit"" the religious school concept."
"499","What do a former U.S. president, LeBron James and a guy who really, really likes chicken nuggets have in common? They made the biggest splash on Twitter this year."
"500","General Motors Co on Tuesday said it will equip newer cars with in-dash e-commerce technology, betting it can profit as drivers order food, find fuel or reserve hotel rooms by tapping icons on the dashboard screen, instead of using smartphones whi..."
"501","Oil markets nudged higher on Tuesday, buoyed by expectations of a drop in U.S. crude stockpiles and after last week's deal between OPEC and other crude producers to extend output curbs."
"502","A top Republican senator said Monday his comments were misinterpreted when he defended GOP efforts to scale back the federal estate taxes because it helps those who invest rather than people who spend their money on ""booze or women or movies."""
"503","Gus Malzahn is staying at Auburn, putting an end to the questions about his future."
"504","New Mexico's attorney general on Wednesday announced plans to ask Wells Fargo &amp; Co to pay damages on behalf of customers who were victims of a scandal in which the bank created as many as 3.5 million unauthorized accounts."
"505","The world's leading golf tour is handing the reins of its China circuit to a new local partner, a move which should help smooth the path with regulators amid a long-running crackdown on the sport as it battles to clear bureaucratic hurdles."
"506","Even taking a financial hit from Italy and the United States failing to qualify, FIFA's top salesman insists the 2018 World Cup will make its income target."
"507","Investment firm Platinum Equity is preparing a binding bid for part of Unilever's margarine and spreads business, sources familiar with the matter said, ahead of next week's deadline for final offers."
"508","Brazil's Copersucar, one of the world's largest ethanol merchants, and BP's Brazil unit said on Thursday they will form a 50-50 logistics joint venture in the country."
"509","Police in Tanzania have arrested a woman after a video clip showing her kissing and embracing another woman at a party was widely shared online, a senior official said."
"510","Saudi Arabia's Energy Minister Khalid al-Falih said on Monday oil producers might start discussing in June when to raise output once the market outlook was clearer, even though OPEC was expected to continue output curbs in the second half of 2018."
"511","The Hong Kong International Races, four races worth a combined 84.5 million Hong Kong dollars, will be the site of the final career start for the 5-year-old."
"512","U.S. health officials on Thursday approved the first injectable form of the leading medication to treat patients recovering from addiction to heroin, prescription painkillers and other opioids."
"513","People living in polluted areas had higher rates of osteoporosis and bone fractures."
"514","Shares of Juniper Networks Inc fell 8 percent in pre-market trade on Thursday after Finland's Nokia denied reports that it was in talks to buy the U.S. network gear maker."
"515","Brushing aside an ongoing Russia probe, President Donald Trump reveled Saturday in the Senate's passage of a sweeping tax bill, predicting with swagger that he and his fellow Republicans were ""unbeatable."""
"516","NBC News fired Matt Lauer, the popular host of its ""Today"" morning show, on Wednesday after a female colleague accused him of inappropriate sexual behavior, the network said, making him the latest rich and powerful man to be felled by such accusat..."
"517","Stoke City striker Peter Crouch's habit of scoring crucial goals from the bench has earned him a one-year contract extension, the Premier League club said on Tuesday."
"518","The Philippines on Friday put on hold its dengue immunization program, the world's first, after new findings by the vaccine manufacturer that severe cases of dengue can occur in the longer term among those vaccinated without prior infection."
"519","The world's biggest lithium-ion battery has plugged into an Australian state grid, an official said Friday, easily delivering on Tesla Inc. chief executive Elon Musk's 100-day guarantee."
"520","A bipartisan group of U.S. lawmakers has introduced a bill that would ban agreements to keep sexual harassment and discrimination claims out of court, amid a wave of sexual misconduct allegations against powerful men. "
"521","As more people shoot&#160;pictures and videos from consumer drones, researchers in Singapore have found a way&#160;round the frustrating task of framing and taking&#160;photos while manually piloting the craft.&#160;"
"522","The cruise industry has dodged a tax increase after Alaska's U.S. senators helped strike the provision from the tax bill that passed the Senate."
"523","A Brazilian businessman testified on Monday that he participated in a bribery scheme to buy the influence of FIFA soccer officials to win commercial rights to major tournaments, a decision he later regretted."
"524","Russian prosecutors on Monday asked a court to send a former economic development minister to a high-security prison for 10 years."
"525","Stocks that moved substantially or traded heavily Tuesday:"
"526","Tesla Inc switched on the world's biggest lithium ion battery on Friday in time to feed Australia's shaky power grid for the first day of summer, meeting a promise by Elon Musk to build it in 100 days or give it free."
"527","An Argentinian accountant described on Wednesday how he handled the payment of millions of dollars in bribes to former South American soccer officials, including former FIFA vice president Julio Grondona, by using wire transfers, offshore accounts..."
"528","Wells Fargo &amp; Co is giving its top brokers and advisory teams as much as a $40,000 raise next year in a broad strategy to go after wealthier clients, company executives said Friday."
"529","Private equity firms Apollo, KKR and CVC Capital Partners are the final three parties left bidding for Unilever's margarine and spreads business, sources familiar with the matter said, as the process moves towards its final round.  "
"530","Facebook Inc has eliminated transaction fees on donations made to non-profit organizations on its platform, Chief Executive Mark Zuckerberg said on Wednesday, a change that could help the world's largest social media network expand its presence in..."
"531","Bitcoin hovered around $9,600 in volatile trade on Friday, after tumbling about 15 percent from an all-time high hit this week as some investors warned ominously of a bubble and further falls in the stratospheric cryptocurrency."
"532","The University of Oxford, the oldest university in the English speaking world, is planning to sell its first bond in the coming days armed with a newly-minted triple A credit rating."
"533","Canadian Prime Minister Justin Trudeau apologized Tuesday to members of the LGBTQ community for actions taken by the government against thousands of workers in the military and public service during the Cold War."
"534","The Brazilian government is looking at all options, including large batteries, to help northern Roraima state with power supplies after a series of blackouts in recent months largely related to its dependency on cash-strapped neighbor Venezuela."
"535","The White House said on Thursday it believed that Saudi Arabia would allow a blocked port in Yemen to open after President Donald Trump urged Riyadh to lift a blockade to let humanitarian aid reach the Yemeni people."
"536","Wal-Mart Stores Inc said on Wednesday that soaring online purchases have caused delays in its distribution network, reflecting the challenge retailers and delivery services face in handling strong peak-season ecommerce demand."
"537","A Norwegian train smashed into a herd of reindeer in the country's Arctic region Wednesday, killing 17 animals, days after similar incidents led to the death of more than 100 reindeer."
"538","Kroger Co issued an upbeat holiday forecast and better-than-expected quarterly results, helped by aggressive discounts that lured more shoppers to its supermarkets, and shares soared as much as 13.6 percent."
"539","Miami Dolphins owner Stephen Ross has moved closer to bringing a championship to his stadium &#8212; in tennis."
"540","Nearly half of the cash that has poured into newly issued cryptocurrencies in recent years has been raised in Europe, research published on Thursday showed."
"541","Canadian Prime Minister Justin Trudeau apologised on Tuesday for a decades-long campaign by previous governments to rid the military and public service of homosexuals, calling the dark chapter in the country's history a ""collective shame."""
"542","Japan's Toray Industries on Tuesday revealed 149 cases of quality data falsification at a materials-making subsidiary spanning eight years, in the latest quality-assurance scandal to hit a Japanese manufacturer."
"543","Thousands of protesters fired up by President Donald Trump's expected announcement to shrink two national monuments in Utah rallied in Salt Lake City on Saturday, just two days ahead of his planned visit."
"544","AC Milan's new coach Gennaro Gattuso promised that he would offer more than just the aggression, anger and grit which marked his playing career."
"545","The International Committee of the Red Cross (ICRC) said on Wednesday it was making a ""stop-gap"" purchase of fuel so as to provide clean water to one million people in the Yemeni cities of Hodeidah and Taiz for one month."
"546","Progress in the global fight against malaria has stalled amid signs of flatlining funding and complacency that the mosquito-borne disease is less of a threat, the World Health Organization said on Wednesday."
"547","Glencore has increased production of the metals used to make electric car batteries faster than its major mining rivals, according to an industry-wide analysis that shows the scale of a strategy that has big prospective risks and rewards."
"548","The illegal drug trade on the dark web is growing rapidly, despite authorities shutting down major market sites like AlphaBay, as crime gangs diversify and seek new clients online, a report by two European Union agencies warned on Tuesday."
"549","Alabama Republican Roy Moore has celebrated his isolated fight against the political establishment in both parties. The outsider story may resonate with Alabama voters, but the reality has a clear downside: The Senate candidate and his allies are ..."
"550","The billionaire founder of Insys Therapeutics Inc, charged with engaging in a scheme to bribe doctors to prescribe an opioid, won the lifting of a requirement that he wear a GPS-enabled ankle monitor on Monday, which he said interfered with joggin..."
"551","The Senate Republican tax bill includes the repeal of the Affordable Care Act’s individual mandate, the requirement that all Americans purchase qualifying health insurance or pay a penalty."
"552","Experience these majestic sites during moments of solitude in 360 video. "
"553","The viral publisher Bored Panda is thriving on the social network despite the algorithm changes that doomed its competitors."
"554","The city is ground zero for cutting-edge art, fueled by excitement over the Art Basel fair, but how many museums does it need?"
"555","Jimbo Fisher is leaving Florida State for Texas A&amp;M, four years after leading the Seminoles to their third national title."
"556","The creator of “Floribama Shore,” the name of which is meant to evoke “Jersey Shore,” says the show is different and the cast is more earnest and vulnerable."
"557","Bitcoin rocketed to another record high close of $16,000 on the Luxembourg-based Bitstamp exchange on Thursday after gaining more than $4,000 in just 48 hours, stoking concerns that a rapidly swelling bubble could be set to burst."
"558","The special counsel investigating Russian interference in last year’s special election has asked for information on the bank’s dealings with the Trump family."
"559","Although Art Basel Miami Beach has been credited with enhancing Miami’s reputation as an arts hub, many cite the Knight Foundation as a key driver."
"560","District attorneys in New York City and other counties detail $2.5 million in unpaid wages from more than 400 construction workers."
"561","Beijing reacted to a deadly fire by demolishing entire neighborhoods populated by migrant workers, leaving many homeless as winter approaches."
"562","Uber Technologies Inc withheld evidence in a lawsuit filed by Alphabet Inc's Waymo, a U.S. judge said on Tuesday, delaying a trial to give Waymo time to review a letter alleging that Uber trained employees to steal trade secrets and hide their tra..."
"563","Destinations around the U.S. are dressing up for Christmas with trees, lights and holiday magic. Here's a look at a few events, displays and other attractions."
"564","Bitcoin rocketed to a lifetime high well above $16,000 on Thursday after climbing some 67 percent over one week, intensifying the debate about whether the cryptocurrency is in a bubble about to burst."
"565","They never cared about deficits, but will gladly use them as an excuse to take away aid for those who need it."
"566","In the last two years, more than 30 global asset managers have been awarded licences to set up wholly-owned units in China as they sought a share of the country's $1.5 trillion (&#163;1.12 trillion) private fund management market."
"567","Significant differences separate the massive tax packages passed by the House and Senate on estate taxes, health care and a prized deduction for home mortgage interest, though Republican leaders are confident none is insurmountable."
"568","Aid officials said the Saudi blockade of Yemen was now impeding their ability to fight diphtheria, once thought to have been largely eradicated."
"569","A committee of owners signed off on a contract worth about $200 million over five years, ending a bitter standoff with Jerry Jones, the Cowboys’ owner."
"570","A lawsuit filed against the Fire Department of New York accuses it of discriminating against black employees and job seekers in its ambulance and civilian support staff operations and comes almost four years after the department agreed to pay $98 ..."
"571","A warm start to the winter has boosted steel prices and margins for mills in China, the world's top producer, as the higher temperatures have allowed projects to proceed that would normally have come to a halt."
"572","Britain's financial watchdog has launched a second probe into Provident Financial's lending practices, dealing a fresh blow to a company struggling to revive its door-to-door operations and sending its shares down as much as 16 percent. "
"573","When former President Barack Obama spoke to a leadership forum in India's capital on Friday, he never once used the words ""Donald Trump"" and was careful to avoid any direct reference to his successor in the White House."
"574","Republicans early Saturday rammed a nearly $1.5 trillion tax overhaul through the Senate, a sweeping revamp of the nation's tax code. The House passed a nearly $1.5 trillion tax bill two weeks ago that differs in key respects. The GOP will work qu..."
"575","Indonesia’s top tourism spot is uncharacteristically quiet as uncertainty over the Mount Agung volcano keeps visitors away."
"576","The day before Thanksgiving, a predominantly Latino audience packed an Albuquerque theater on Route 66 to catch the U.S. premiere of ""Coco."" In San Jose, California, multi-generational Latino families came together to see the movie. At the Vinelan..."
"577","The World Health Organization said on Monday it hopes to review safety data on Sanofi's dengue vaccine this month, while the Philippines ordered an investigation of its now suspended massive immunization programme after the French drugmaker said i..."
"578","Bitcoin blasted past $11,000 to hit a record high for the sixth day in a row on Wednesday after gaining more than $1,000 in just 12 hours, stoking concerns that a rapidly swelling bubble could be set to burst in spectacular fashion."
"579","Health care for a thousand kids, or tax breaks for one wealthy heir? The G.O.P. prefers the second."
"580","Sears said Thursday that revenue and a key sales figure plummeted in its most recent quarter as it closed stores, shut down pharmacies at some Kmart locations and lost shoppers to other retailers."
"581","At least two big Uber stakeholders have agreed to sell part of their private shares to a group led by Japanese technology conglomerate SoftBank in a deal that lets investors cash out at a discount and could bring management stability to the troubl..."
"582","Google, which prides itself on developing simple, intuitive software that seems to know what you want almost before you do, is finding itself in a very different world when it comes to its own phones and other gadgets."
"583","In the last two years, more than 30 global asset managers have been awarded licences to set up wholly-owned units in China as they sought a share of the country's $1.5 trillion (&#163;1.12 trillion) private fund management market."
"584","Six months after declaring his coaching career was over, Sam Allardyce was back in the Premier League as Everton manager on Thursday after being offered a long-awaited opportunity to take charge of one of English football's storied clubs."
"585","Congo has a long journey to recovery ahead of it, but with the right combination of business, social and political services there is now optimism for a country that once seemed to have lost any."
"586","Booming eSports do not need the Olympics to maintain their explosive growth but a link with the world's biggest multi-sports event would validate gaming worldwide and give the Games a much-needed younger audience, industry leaders said."
